Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Jim	20:48 1/3/2021	162
Tom	20:48 1/3/2021	139
TomH	20:48 1/3/2021	108
dip	20:48 1/3/2021	90
TomH	20:48 1/3/2021	137
Tom	20:48 1/3/2021	140
Jim	20:6 2/0/2022	135
Lana	20:6 2/0/2022	127
Mike	20:15 2/0/2022	106
Tom	20:15 2/0/2022	125
Mike	18:20 2/1/2022	103
Jim	18:20 2/1/2022	86
Mike	21:54 2/1/2022	144
Tom	21:54 2/1/2022	175
Mike	21:57 2/1/2022	82
Jim	21:58 2/1/2022	156
Tom	21:58 2/1/2022	133
Lana	21:58 2/1/2022	112
TomH	21:58 2/1/2022	134
